filename,score,size,quality
10568-51999.pdf,73.38976826,108767,80
10568-51999.pdf,74.07249606,111912,81
10568-51999.pdf,74.86302104,114586,82
10568-51999.pdf,75.55283455,118177,83
10568-51999.pdf,76.26074337,121357,84
10568-51999.pdf,77.02500849,124366,85
10568-51999.pdf,78.53362495,132249,87
10568-51999.pdf,77.89111790,128859,86
10568-51999.pdf,79.41689418,137365,88
10568-51999.pdf,80.06910302,141352,89
10568-51999.pdf,86.06406366,162125,90
10568-51999.pdf,86.86915665,168937,91
10568-51999.pdf,87.76477187,175459,92
10568-51999.pdf,88.54229905,185343,93
10568-51999.pdf,89.56137257,197429,94
10568-51999.pdf,90.46529261,211414,95
10568-51999.pdf,92.29086914,248971,97
10568-51999.pdf,91.42276398,228699,96
10568-51999.pdf,92.78256668,270586,98
10568-51999.pdf,93.44105381,313159,99
10568-51999.pdf,93.72312995,364423,100
10568-53155.pdf,-32.76248591,5116,1
10568-53155.pdf,-32.76472289,5128,2
10568-53155.pdf,-28.11622708,5556,3
10568-53155.pdf,-17.98651756,6379,4
10568-53155.pdf,-3.77673514,7221,5
10568-53155.pdf,1.04295259,8252,6
10568-53155.pdf,7.64467203,9127,7
10568-53155.pdf,17.79107482,9874,8
10568-53155.pdf,23.43752367,10621,9
10568-53155.pdf,25.75782778,11465,10
10568-53155.pdf,32.93660997,12836,12
10568-53155.pdf,28.65410727,12230,11
10568-53155.pdf,34.98467105,13532,13
10568-53155.pdf,37.82516350,14096,14
10568-53155.pdf,41.32267807,14653,15
10568-53155.pdf,44.85283036,15233,16
10568-53155.pdf,42.55272105,15833,17
10568-53155.pdf,44.68647441,16377,18
10568-53155.pdf,47.70112792,16843,19
10568-53155.pdf,51.96324756,18359,22
10568-53155.pdf,50.88968668,17323,20
10568-53155.pdf,48.79421076,17891,21
10568-53155.pdf,51.34140189,18869,23
10568-53155.pdf,52.74710526,19397,24
10568-53155.pdf,53.76471807,19872,25
10568-53155.pdf,54.73710035,20302,26
10568-53155.pdf,55.61566403,20757,27
10568-53155.pdf,58.06099933,21233,28
10568-53155.pdf,58.58626974,21606,29
10568-53155.pdf,57.89126990,22110,30
10568-53155.pdf,58.06172758,22428,31
10568-53155.pdf,58.56330067,22856,32
10568-53155.pdf,61.28062108,23330,33
10568-53155.pdf,62.09508560,23621,34
10568-53155.pdf,61.37599047,24548,36
